name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~137,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~137,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~137,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-3.png
,|~Double salto bwd. t. with ¥ t. or salto bwd. % t. to salto fwd. tucked.,|~IV,|~Dismounts,|~D,|~0.4,|~137,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~137,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~137,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-3-col-6.png
,|~From hang on end, salto bwd. straight.,|~IV,|~Dismounts,|~A,|~0.1,|~137,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~137,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~137,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-3.png
,|~,|~IV,|~Dismounts,|~D,|~0.4,|~137,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-4.png
,|~From hang on end, dbl. salto bw4. t. with 1/1 or,|~IV,|~Dismounts,|~E,|~0.5,|~137,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-5.png
,|~From hang on end, dbl. salto bwd. t. with 2/1 t.,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~137,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-4-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~135,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~135,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-2.png
Gagnon,|~Basket roll backward with tuck salto % to uppe,|~III,|~,|~C,|~0.3,|~135,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-3.png
Gagnon 2,|~Basket roll backward with str. salto % to upper,|~III,|~,|~D,|~0.4,|~135,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-4.png
Tejada,|~Basket with salto bwd t. to up. arm hang.,|~III,|~,|~E,|~0.5,|~135,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-5.png
Juarez 1,|~Basket with salto bwd p. to up. arm hang.,|~III,|~,|~F/G/H,|~0.6,|~135,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-1-col-6.png
,|~Basket forward to support.,|~III,|~,|~A,|~0.1,|~135,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-1.png
,|~Basket forward with ¥ t. to support. fia ph,|~III,|~,|~B,|~0.2,|~135,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~135,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-3.png
,|~Shoot up with % t. to hdst.,|~III,|~,|~D,|~0.4,|~135,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-4.png
Nguyen,|~Shoot up with % or 3/4 t. to hdst.,|~III,|~,|~E,|~0.5,|~135,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~135,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-2-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~135,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~135,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~135,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~135,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-4.png
