name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~III,|~,|~A,|~0.1,|~157,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-1.png
,|~Steineman uprise w. flank bwd. to sup. or hang.,|~III,|~,|~B,|~0.2,|~157,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~157,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~157,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~157,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~157,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-4-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~147,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-1.png
,|~Giant swing bwd. with hop % t. to el-grip. \ of x,|~I,|~,|~B,|~0.2,|~147,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-2.png
,|~Giant swing bwd. with hop 3/2 t. to undergrip,,|~I,|~,|~C,|~0.3,|~147,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-3.png
Rybalko,|~Giant swing bwd. with hop 3/2 t. to double el- grip. , Bly.,|~I,|~,|~D,|~0.4,|~147,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~147,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~147,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-1-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~147,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-1.png
,|~Giant swing bwd. with ¥ t. to el-grip.,|~I,|~,|~B,|~0.2,|~147,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-2.png
,|~,|~I,|~,|~C,|~0.3,|~147,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~147,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~147,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~147,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-2-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~147,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-1.png
,|~Long swing fwd. with hop to el-grip.,|~I,|~,|~B,|~0.2,|~147,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-2.png
,|~,|~I,|~,|~C,|~0.3,|~147,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~147,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~147,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~147,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-3-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~147,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-1.png
,|~,|~I,|~,|~B,|~0.2,|~147,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-2.png
