name,|~explanation,|~group,|~group_name,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~Round off, ¥t. a. hdspr. fwd. and salto fwd. p.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-1.png
Nemov,|~Round off, % t. and hdspr. fwd. and salto fwd. p. with % t.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-2.png
,|~Round off, % t. and hdspr. fwd. and salto fwd.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-3.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. str. with %t. con %g.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-4.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. str. with 1/1 t.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-5.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. straight with 3/2 t.,|~IV,|~Round off entry vaults,|~,|~114,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-3-col-6.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. straight with 2/1 t.,|~IV,|~Round off entry vaults,|~,|~114,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-1.png
Li Xiao Peng,|~Round off, % t. and hdspr. fwd. and salto fwd. str. with 5/2 t,|~IV,|~Round off entry vaults,|~5.8,|~114,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-2.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-3.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-4.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-5.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-4-col-6.png
,|~Round off, % t. a. hdspr. fwd. and double salto fwd. tucked.,|~IV,|~Round off entry vaults,|~5.4,|~115,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-1.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-2.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-3.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-4.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-5.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-1-col-6.png
,|~Scherbo entry to back handspring.,|~IV,|~Round off entry vaults,|~2.2,|~115,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-1.png
,|~Scherbo entry to back handspring with ¥% turn.,|~IV,|~Round off entry vaults,|~2.4,|~115,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-2.png
,|~Scherbo entry to back handspring with 1/1,|~IV,|~Round off entry vaults,|~,|~115,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-3.png
