name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
Vorobiov),|~From inverted cross lower slowly to inverted hang and felge bwd. slowly to cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~92,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-4.png
Jotchev,|~From inverted cross lower slowly to inverted. hang and felge bwd. slowly to swallow (2 s.). (Jotchev) Mm Woy.,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~92,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~92,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-6.png
,|~Press to hdst. with bent body and bent arms (2s).,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~90,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-1.png
,|~Press to hdst. with str. body a, bent arms or b. body. a. str. arms, or fr, strad. sup. lever (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~90,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-2.png
,|~Press to hdst. with str. body and str. arms or from sup. lever (2 s.). by dea) tal (,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~90,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-3.png
,|~Press to hdst. with str. body and str. arms from swallow (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~90,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-4.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~90,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~90,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-1-col-6.png
,|~Slow roll fwd. piked with bent arms, to support.,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~90,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-1.png
,|~Slow roll fwd. straight with bent arms, to sup-,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~90,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-2.png
,|~Slow roll fwd. straight to handstand (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~90,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-3.png
,|~Slow roll fd, straight to inverted cross (2 s.). es I aQt of,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~90,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-4.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~90,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~90,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-2-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~90,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-1.png
,|~Slow roll bwd. slowly and straight. body to L sit (2s).,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~90,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-2.png
,|~Slow roll fwd. straight to cross or L-cross (2 s.)..,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~90,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-3.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~90,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-4.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~90,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~90,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-3-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~90,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-1.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~90,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-2.png
